Order ID,Customer_ID,Order_Date,Region,Segment,Order_Total,Order_Profit,Line_Items
ORD-2023111,CUST-00494,2024-04-20,Central,Consumer,4125.57,1551.6299999999999,2
ORD-2023112,CUST-00291,2024-06-19,South,Consumer,10644.6,2922.4,1
ORD-2023113,CUST-00103,2025-07-18,South,Home Office,4905.63,-204.93,2
ORD-2023114,CUST-00153,2024-06-11,South,Consumer,2844.91,333.57,2
ORD-2023115,CUST-00272,2023-11-19,East,Corporate,37.69,2.16,1
ORD-2023116,CUST-00058,2025-01-23,East,Consumer,164.24,69.92,1
ORD-2023117,CUST-00051,2025-02-02,South,Consumer,1574.9,276.44,2
ORD-2023118,CUST-00736,2024-03-16,Central,Consumer,1362.85,-51.67999999999999,2
ORD-2023119,CUST-00257,2025-06-18,Central,Home Office,7673.96,1432.71,1
ORD-2023120,CUST-00789,2023-04-28,Central,Consumer,280.68,44.37,1
ORD-2023121,CUST-00773,2025-06-07,East,Consumer,3894.07,1502.42,2
ORD-2023122,CUST-00116,2025-07-02,Central,Consumer,3556.0,1595.61,1
ORD-2023123,CUST-00583,2025-09-27,East,Corporate,1152.72,307.3,1
ORD-2023124,CUST-00495,2025-04-20,West,Corporate,632.72,114.55999999999999,2
ORD-2023125,CUST-00565,2025-03-16,South,Home Office,703.94,148.85,1
ORD-2023126,CUST-00076,2023-11-16,West,Consumer,513.9,96.39,1
ORD-2023127,CUST-00155,2024-01-08,West,Consumer,4512.13,813.07,1
ORD-2023128,CUST-00063,2024-11-24,West,Home Office,19725.93,6730.13,3
ORD-2023129,CUST-00498,2024-11-15,West,Consumer,726.21,276.09,1
ORD-2023130,CUST-00793,2023-06-07,Central,Home Office,710.52,228.6,1
ORD-2023131,CUST-00548,2024-10-25,Central,Home Office,614.77,-33.2,1
ORD-2023132,CUST-00580,2025-05-24,East,Consumer,797.58,128.24,1
ORD-2023133,CUST-00791,2024-02-07,East,Consumer,3644.16,910.39,3
ORD-2023134,CUST-00554,2024-08-12,West,Consumer,717.9,184.93,1
ORD-2023135,CUST-00037,2024-08-06,South,Consumer,416.45,48.54,2
ORD-2023136,CUST-00695,2024-08-18,East,Corporate,1584.99,305.37,1
ORD-2023137,CUST-00300,2025-01-29,East,Consumer,962.46,190.04,2
ORD-2023138,CUST-00003,2025-06-07,Central,Corporate,8940.45,2221.83,2
ORD-2023139,CUST-00420,2025-08-26,Central,Consumer,4455.06,1647.97,1
ORD-2023140,CUST-00756,2025-04-03,West,Consumer,1627.53,719.95,2
ORD-2023141,CUST-00211,2024-11-08,West,Corporate,170.1,17.79,1
ORD-2023142,CUST-00410,2025-10-04,East,Home Office,2663.67,207.82999999999998,2
ORD-2023143,CUST-00144,2025-08-25,West,Home Office,4147.3099999999995,454.55999999999995,2
ORD-2023144,CUST-00051,2025-03-14,South,Consumer,3510.5,927.39,1
ORD-2023145,CUST-00066,2024-04-16,West,Corporate,197.1,34.71,1
ORD-2023146,CUST-00596,2025-11-08,South,Consumer,1250.37,237.92000000000002,2
ORD-2023147,CUST-00694,2023-08-22,South,Consumer,6266.450000000001,628.81,2
ORD-2023148,CUST-00116,2024-01-19,Central,Consumer,18335.47,7262.97,3
ORD-2023149,CUST-00234,2025-05-13,South,Consumer,5435.92,-3068.43,1
ORD-2023150,CUST-00162,2025-03-27,Central,Consumer,480.11,22.12,1
ORD-2023151,CUST-00027,2024-04-28,West,Consumer,1249.3899999999999,388.78,2
ORD-2023152,CUST-00457,2025-02-28,East,Corporate,13108.8,4705.389999999999,3
ORD-2023153,CUST-00573,2025-05-07,West,Consumer,16886.35,4716.46,2
ORD-2023154,CUST-00529,2024-08-04,South,Corporate,976.45,168.01,1
ORD-2023155,CUST-00319,2023-07-12,South,Corporate,172.0,28.25,1
ORD-2023156,CUST-00458,2025-05-06,Central,Home Office,1229.26,-116.21,1
ORD-2023157,CUST-00074,2024-04-24,East,Consumer,12816.59,2786.09,2
ORD-2023158,CUST-00133,2025-02-13,East,Consumer,2311.92,672.54,1
ORD-2023159,CUST-00753,2023-08-04,East,Consumer,6099.280000000001,1385.08,2
ORD-2023160,CUST-00620,2024-12-09,East,Consumer,4231.76,1259.03,1
ORD-2023161,CUST-00743,2025-03-03,Central,Corporate,774.62,212.88,2
ORD-2023162,CUST-00738,2023-07-03,West,Consumer,1671.16,649.47,1
ORD-2023163,CUST-00530,2024-12-10,South,Corporate,1207.58,434.93,1
ORD-2023164,CUST-00749,2025-06-02,West,Consumer,656.33,78.86,2
ORD-2023165,CUST-00346,2024-12-02,West,Consumer,9280.74,3563.71,2
ORD-2023166,CUST-00003,2025-09-06,Central,Corporate,4147.8,1124.79,2
ORD-2023167,CUST-00054,2024-11-30,West,Consumer,3423.87,549.63,2
ORD-2023168,CUST-00089,2025-01-02,South,Corporate,5374.89,2022.31,1
ORD-2023169,CUST-00075,2024-11-01,Central,Consumer,25.36,7.53,1
ORD-2023170,CUST-00288,2025-03-02,Central,Home Office,129.34,37.0,1
ORD-2023171,CUST-00574,2023-12-27,East,Home Office,2506.74,424.57,1
ORD-2023172,CUST-00642,2025-09-04,South,Corporate,78.57,25.38,1
ORD-2023173,CUST-00489,2025-04-18,South,Consumer,1941.3600000000001,-287.52,2
ORD-2023174,CUST-00121,2024-10-02,West,Home Office,98.25,34.83,1
ORD-2023175,CUST-00611,2024-05-28,South,Corporate,9082.85,1972.57,1
ORD-2023176,CUST-00291,2024-11-20,South,Consumer,1344.81,364.37,2
ORD-2023177,CUST-00009,2023-11-08,East,Consumer,6311.34,1756.42,1
ORD-2023178,CUST-00229,2025-03-24,Central,Corporate,4406.639999999999,1359.9099999999999,2
ORD-2023179,CUST-00271,2024-02-21,West,Consumer,219.07999999999998,74.34,2
ORD-2023180,CUST-00223,2024-08-30,Central,Home Office,1247.8600000000001,151.33,2
ORD-2023181,CUST-00654,2025-08-26,South,Consumer,195.53,18.56,1
ORD-2023182,CUST-00619,2025-07-23,East,Consumer,4180.47,1666.04,1
ORD-2023183,CUST-00570,2024-10-25,Central,Consumer,477.16,95.07,1
ORD-2023184,CUST-00112,2025-07-27,South,Corporate,145.61,16.97,1
ORD-2023185,CUST-00651,2024-05-24,West,Corporate,605.46,224.42,2
ORD-2023186,CUST-00554,2023-11-16,West,Consumer,598.25,150.88,1
ORD-2023187,CUST-00161,2025-07-17,South,Consumer,160.65,10.29,1
ORD-2023188,CUST-00529,2025-01-15,South,Corporate,10921.05,3664.68,1
ORD-2023189,CUST-00404,2025-08-11,South,Corporate,1680.48,395.46,1
ORD-2023190,CUST-00364,2024-09-03,South,Consumer,7195.05,1852.55,1
ORD-2023191,CUST-00092,2025-03-01,South,Corporate,4777.68,777.89,1
ORD-2023192,CUST-00430,2025-07-08,Central,Consumer,1961.34,630.94,1
ORD-2023193,CUST-00077,2024-05-07,West,Consumer,1075.72,-687.26,2
ORD-2023194,CUST-00139,2025-01-31,West,Consumer,13914.7,3169.76,2
ORD-2023195,CUST-00107,2025-01-28,South,Consumer,592.15,98.62,1
ORD-2023196,CUST-00768,2024-08-29,West,Consumer,5333.68,1117.31,3
ORD-2023197,CUST-00234,2024-09-03,South,Consumer,20.53,5.13,1
ORD-2023198,CUST-00291,2024-06-07,South,Consumer,1610.48,118.49,1
ORD-2023199,CUST-00263,2024-11-18,West,Consumer,18735.58,5339.61,2
ORD-2023200,CUST-00718,2025-02-14,West,Corporate,11030.96,2753.38,1
ORD-2023201,CUST-00466,2025-05-25,South,Home Office,1778.0,567.66,1
ORD-2023202,CUST-00740,2024-12-15,South,Corporate,7414.77,2635.82,1
ORD-2023203,CUST-00248,2024-05-29,West,Consumer,216.72,31.35,1
ORD-2023204,CUST-00093,2025-06-22,South,Corporate,3000.4500000000003,969.2,3
ORD-2023205,CUST-00460,2024-12-05,East,Consumer,4209.0,1859.94,1
ORD-2023206,CUST-00282,2025-05-24,West,Consumer,5607.1,983.29,2
ORD-2023207,CUST-00649,2023-11-02,South,Home Office,3035.2,1187.17,1
ORD-2023208,CUST-00705,2023-12-20,East,Consumer,809.22,203.64,2
ORD-2023209,CUST-00395,2024-10-13,Central,Consumer,2087.7799999999997,322.65,2
ORD-2023210,CUST-00781,2025-02-06,South,Corporate,5784.04,1132.3899999999999,2
ORD-2023211,CUST-00456,2025-01-16,Central,Consumer,803.7,250.48,1
ORD-2023212,CUST-00219,2025-05-15,West,Consumer,4512.13,1318.19,1
ORD-2023213,CUST-00408,2025-06-26,East,Consumer,294.88,49.41,1
ORD-2023214,CUST-00037,2023-07-12,South,Consumer,223.19,30.95,2
ORD-2023215,CUST-00650,2025-01-21,South,Consumer,3236.35,-160.78,2
ORD-2023216,CUST-00079,2024-02-21,Central,Corporate,2021.84,179.79,1
ORD-2023217,CUST-00255,2024-08-03,Central,Home Office,959.2900000000001,274.26,2
ORD-2023218,CUST-00467,2024-04-17,East,Home Office,3425.92,974.93,1
ORD-2023219,CUST-00040,2024-08-15,Central,Corporate,4177.9,1052.63,1
ORD-2023220,CUST-00066,2025-06-09,West,Corporate,8153.88,1770.73,1
ORD-2023221,CUST-00570,2023-07-29,Central,Consumer,539.6,49.3,1
ORD-2023222,CUST-00061,2023-12-02,South,Corporate,85.65,35.96,1
ORD-2023223,CUST-00397,2025-02-26,East,Consumer,5045.99,820.65,2
ORD-2023224,CUST-00275,2025-10-03,West,Corporate,978.9100000000001,152.79,3
ORD-2023225,CUST-00187,2023-10-27,East,Consumer,1365.84,330.83,1
ORD-2023226,CUST-00155,2025-09-21,West,Consumer,3044.86,1293.8600000000001,2
ORD-2023227,CUST-00621,2024-04-13,West,Home Office,1618.34,425.55,1
ORD-2023228,CUST-00766,2025-04-12,South,Home Office,9759.24,1635.89,2
ORD-2023229,CUST-00113,2024-08-31,Central,Consumer,2527.3,438.41,1
ORD-2023230,CUST-00770,2023-07-08,West,Consumer,81.16,28.63,1
ORD-2023231,CUST-00491,2023-11-17,South,Consumer,401.85,115.38,1
ORD-2023232,CUST-00527,2023-07-08,South,Consumer,564.83,217.56,1
ORD-2023233,CUST-00580,2025-01-23,East,Consumer,1316.15,533.45,1
ORD-2023234,CUST-00575,2023-06-29,East,Consumer,2808.1099999999997,978.11,2
ORD-2023235,CUST-00661,2025-01-01,East,Home Office,3873.26,1070.02,2
ORD-2023236,CUST-00404,2024-01-18,South,Corporate,5742.41,1405.12,2
ORD-2023237,CUST-00440,2025-03-19,West,Consumer,2106.26,752.51,2
ORD-2023238,CUST-00266,2024-10-08,Central,Corporate,4837.12,1526.76,2
ORD-2023239,CUST-00084,2023-05-12,South,Consumer,267.44,53.94,1
ORD-2023240,CUST-00542,2024-07-14,East,Corporate,1226.74,209.75,3
ORD-2023241,CUST-00034,2025-11-24,Central,Corporate,1821.12,23.69,1
ORD-2023242,CUST-00225,2023-12-17,Central,Home Office,9250.78,3359.69,1
ORD-2023243,CUST-00074,2025-04-21,East,Consumer,1333.89,384.64,1
ORD-2023244,CUST-00156,2024-06-14,Central,Consumer,16505.719999999998,3178.26,2
ORD-2023245,CUST-00525,2025-10-05,West,Consumer,4454.280000000001,1242.9,2
ORD-2023246,CUST-00512,2024-12-08,Central,Home Office,10984.710000000001,1000.02,3
ORD-2023247,CUST-00348,2025-11-14,South,Consumer,545.5,34.31,2
ORD-2023248,CUST-00071,2024-10-15,South,Consumer,1989.8400000000001,404.18,2
ORD-2023249,CUST-00359,2025-02-23,East,Consumer,774.4200000000001,108.82,2
ORD-2023250,CUST-00290,2025-09-20,West,Consumer,461.37,-169.45,1
ORD-2023251,CUST-00591,2025-03-27,South,Corporate,112.67,12.93,1
ORD-2023252,CUST-00480,2025-11-20,East,Corporate,10223.849999999999,1877.82,2
ORD-2023253,CUST-00410,2025-03-12,East,Home Office,1996.0700000000002,663.89,2
ORD-2023254,CUST-00405,2023-01-26,West,Consumer,2152.96,-123.4,1
ORD-2023255,CUST-00775,2025-09-28,South,Consumer,1203.16,125.45,2
ORD-2023256,CUST-00618,2024-09-14,West,Corporate,1276.09,-94.28,1
ORD-2023257,CUST-00412,2024-01-30,East,Consumer,109.17,42.28,1
ORD-2023258,CUST-00401,2025-01-31,South,Corporate,790.8,33.83,1
ORD-2023259,CUST-00026,2023-12-23,Central,Corporate,1008.63,211.59,1
ORD-2023260,CUST-00760,2023-08-21,Central,Corporate,423.72,122.49,1
ORD-2023261,CUST-00262,2025-08-04,East,Home Office,3528.1800000000003,1038.58,3
ORD-2023262,CUST-00211,2025-10-03,West,Corporate,5444.98,2011.57,2
ORD-2023263,CUST-00800,2024-08-22,West,Corporate,118.26,51.23,2
ORD-2023264,CUST-00589,2025-03-09,South,Consumer,1299.6999999999998,490.86,2
ORD-2023265,CUST-00044,2024-03-16,West,Consumer,7035.089999999999,1225.09,2
ORD-2023266,CUST-00053,2025-06-03,West,Corporate,109.17,37.75,1
ORD-2023267,CUST-00025,2025-07-08,South,Corporate,2973.3,1052.32,1
ORD-2023268,CUST-00494,2023-10-02,Central,Consumer,7520.22,1179.83,1
ORD-2023269,CUST-00061,2025-01-08,South,Corporate,607.31,95.68,1
ORD-2023270,CUST-00754,2025-09-26,South,Consumer,1070.39,-282.23,1
ORD-2023271,CUST-00756,2024-09-02,West,Consumer,607.04,-15.53,1
ORD-2023272,CUST-00451,2023-06-04,South,Consumer,728.02,180.92,1
ORD-2023273,CUST-00506,2024-03-13,West,Corporate,2582.1000000000004,825.75,2
ORD-2023274,CUST-00236,2024-04-13,Central,Consumer,3658.7,619.39,2
ORD-2023275,CUST-00054,2023-12-11,West,Consumer,45.09,8.29,1
ORD-2023276,CUST-00600,2024-03-05,Central,Consumer,103.46,27.74,1
ORD-2023277,CUST-00079,2023-10-08,Central,Corporate,9668.43,1559.73,1
ORD-2023278,CUST-00068,2024-11-22,West,Home Office,104.7,1.9,1
ORD-2023279,CUST-00257,2025-06-11,Central,Home Office,2961.12,1068.69,1
ORD-2023280,CUST-00008,2025-01-30,Central,Corporate,22184.97,6618.389999999999,3
ORD-2023281,CUST-00359,2025-07-05,East,Consumer,2612.2,462.13,1
ORD-2023282,CUST-00578,2024-03-08,Central,Consumer,12452.14,3982.3999999999996,3
ORD-2023283,CUST-00649,2025-04-25,South,Home Office,639.47,230.07,1
ORD-2023284,CUST-00498,2025-10-06,West,Consumer,1698.71,353.54999999999995,3
ORD-2023285,CUST-00683,2025-06-26,South,Home Office,4777.68,1415.55,1
ORD-2023286,CUST-00336,2024-08-11,South,Corporate,2081.31,837.19,1
ORD-2023287,CUST-00686,2024-10-05,South,Corporate,2730.43,-711.4100000000001,2
ORD-2023288,CUST-00420,2025-10-11,Central,Consumer,1290.29,492.0,3
ORD-2023289,CUST-00183,2025-05-21,West,Consumer,41.06,11.89,1
ORD-2023290,CUST-00761,2023-04-08,East,Consumer,594.66,-191.59,1
ORD-2023291,CUST-00223,2025-05-01,Central,Home Office,1159.27,409.7,2
ORD-2023292,CUST-00026,2024-10-05,Central,Corporate,5536.17,960.53,1
ORD-2023293,CUST-00202,2024-07-07,South,Corporate,3114.12,872.99,1
ORD-2023294,CUST-00301,2024-03-29,West,Consumer,1877.48,433.72,2
ORD-2023295,CUST-00288,2025-08-16,Central,Home Office,1591.3200000000002,545.35,2
ORD-2023296,CUST-00435,2024-11-29,West,Corporate,1506.5,208.1,1
ORD-2023297,CUST-00707,2023-12-26,East,Consumer,138.5,37.77,1
ORD-2023298,CUST-00237,2024-11-15,Central,Corporate,508.35,59.66,1
ORD-2023299,CUST-00431,2025-03-20,East,Corporate,93.08,8.91,1
ORD-2023300,CUST-00277,2023-11-11,West,Home Office,1349.02,472.05999999999995,2
ORD-2023301,CUST-00662,2024-08-28,Central,Corporate,3108.71,-16.72,1
ORD-2023302,CUST-00133,2024-11-29,East,Consumer,1497.72,575.96,1
ORD-2023303,CUST-00082,2024-12-16,West,Consumer,6938.08,2444.85,1
ORD-2023304,CUST-00418,2024-02-23,East,Consumer,5539.93,2002.8200000000002,2
ORD-2023305,CUST-00548,2025-02-28,Central,Home Office,33.6,8.46,1
ORD-2023306,CUST-00646,2024-12-01,West,Consumer,748.48,208.02,1
ORD-2023307,CUST-00488,2025-08-18,Central,Consumer,14192.8,5925.48,1
ORD-2023308,CUST-00624,2025-09-07,West,Consumer,1097.8,418.45,1
ORD-2023309,CUST-00323,2023-10-24,Central,Consumer,8809.33,1996.8,1
ORD-2023310,CUST-00032,2024-02-07,East,Corporate,9532.67,3055.2200000000003,2
ORD-2023311,CUST-00095,2025-11-02,South,Corporate,7481.46,2520.85,2
ORD-2023312,CUST-00037,2024-08-04,South,Consumer,205.3,33.25,1
ORD-2023313,CUST-00270,2025-07-22,Central,Consumer,4765.74,967.93,1
ORD-2023314,CUST-00412,2025-04-22,East,Consumer,9642.66,3343.04,2
ORD-2023315,CUST-00291,2025-01-24,South,Consumer,3533.98,1027.44,3
ORD-2023316,CUST-00463,2024-08-12,Central,Corporate,827.98,203.51999999999998,2
ORD-2023317,CUST-00402,2025-03-23,South,Consumer,473.67,160.75,1
ORD-2023318,CUST-00554,2025-07-01,West,Consumer,4993.85,195.53000000000003,2
ORD-2023319,CUST-00546,2025-02-09,East,Consumer,7316.06,1573.3,2
ORD-2023320,CUST-00262,2024-08-09,East,Home Office,6749.2,2104.51,1
ORD-2023321,CUST-00284,2024-01-31,West,Consumer,2148.54,543.76,1
ORD-2023322,CUST-00485,2025-06-26,West,Consumer,3599.1400000000003,1114.18,2
ORD-2023323,CUST-00492,2025-08-10,South,Home Office,200.74,-12.62,1
ORD-2023324,CUST-00259,2024-12-26,East,Corporate,2027.21,546.15,2
ORD-2023325,CUST-00271,2025-11-23,West,Consumer,84.8,-238.44,2
ORD-2023326,CUST-00569,2023-07-18,Central,Corporate,498.89000000000004,138.10999999999999,2
ORD-2023327,CUST-00529,2025-02-02,South,Corporate,236.86,75.39,1
ORD-2023328,CUST-00108,2025-03-09,Central,Corporate,2166.36,507.46000000000004,2
ORD-2023329,CUST-00364,2023-03-17,South,Consumer,878.38,198.7,2
ORD-2023330,CUST-00715,2024-07-11,South,Home Office,221.32,82.68,1
ORD-2023331,CUST-00037,2025-01-12,South,Consumer,277.29,61.23,1
ORD-2023332,CUST-00691,2023-10-29,South,Consumer,6087.68,2456.04,2
ORD-2023333,CUST-00138,2025-04-06,East,Consumer,615.13,162.77,1
ORD-2023334,CUST-00420,2025-08-16,Central,Consumer,236.3,86.15,2
ORD-2023335,CUST-00352,2023-04-15,East,Consumer,544.53,147.32,2
ORD-2023336,CUST-00006,2024-10-25,South,Home Office,464.84,112.96,1
ORD-2023337,CUST-00736,2025-10-09,Central,Consumer,197.1,68.58,1
ORD-2023338,CUST-00380,2025-02-14,West,Home Office,2366.35,306.81,3
ORD-2023339,CUST-00768,2024-09-18,West,Consumer,695.71,-252.38,1
