EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,Education,EducationField,DistanceFromHome,BusinessTravel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,PerformanceRating,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Attrition,AttritionFlag,AgeGroup,TenureBand,IncomeBand,SatisfactionIndex
11474,28,Male,Single,Sales,Manager,2,3,Life Sciences,17,Travel_Rarely,7763,11,1,No,10,1,0,0,0,9,2,3,2,4,2,4,4,No,0,26-35,0-1 yrs,5K-8K,3.5
11173,43,Male,Married,Research & Development,Healthcare Representative,5,3,Marketing,1,Travel_Rarely,16744,15,0,No,23,10,8,2,9,4,0,3,2,3,2,2,3,No,0,36-45,7-10 yrs,12K+,2.5
11314,30,Female,Married,Research & Development,Research Scientist,2,2,Technical Degree,3,Travel_Rarely,6552,21,1,Yes,9,7,7,0,6,4,2,3,3,2,3,3,3,No,0,26-35,7-10 yrs,5K-8K,2.75
10679,32,Male,Married,Sales,Sales Executive,1,4,Life Sciences,2,Travel_Rarely,5448,11,0,No,10,8,6,6,8,2,1,3,3,1,3,2,3,No,0,26-35,7-10 yrs,5K-8K,2.25
10585,39,Male,Divorced,Sales,Sales Executive,1,4,Technical Degree,15,Travel_Frequently,5550,18,1,No,20,1,0,1,0,3,2,3,3,2,4,3,3,No,0,36-45,0-1 yrs,5K-8K,3.0
10598,32,Female,Married,Research & Development,Manager,2,3,Marketing,13,Travel_Rarely,6781,11,1,No,12,4,2,1,4,8,3,3,3,2,3,3,4,No,0,26-35,4-6 yrs,5K-8K,3.0
10572,26,Female,Single,Sales,Sales Executive,2,4,Medical,9,Travel_Rarely,8357,17,1,No,6,5,2,0,2,1,3,3,2,4,4,3,2,No,0,26-35,4-6 yrs,8K-12K,3.25
10743,18,Male,Married,Research & Development,Healthcare Representative,1,3,Medical,7,Travel_Rarely,4702,11,2,No,0,0,0,0,0,0,3,3,2,4,2,4,2,No,0,18-25,0-1 yrs,3K-5K,3.0
11308,44,Male,Married,Sales,Sales Representative,1,2,Life Sciences,18,Travel_Rarely,6167,16,0,No,23,2,0,0,1,5,0,3,2,3,2,3,3,Yes,1,36-45,2-3 yrs,5K-8K,2.75
10919,29,Female,Married,Research & Development,Healthcare Representative,2,4,Other,1,Travel_Rarely,8260,13,1,No,8,4,3,3,4,3,6,3,3,3,2,3,3,No,0,26-35,4-6 yrs,8K-12K,2.75
10092,38,Female,Married,Sales,Sales Executive,3,4,Human Resources,5,Travel_Rarely,10640,12,1,Yes,15,4,4,4,3,0,6,3,3,4,3,4,1,No,0,36-45,4-6 yrs,8K-12K,3.0
10428,36,Female,Divorced,Research & Development,Research Director,2,2,Other,23,Travel_Rarely,8059,12,1,No,13,9,7,3,7,9,0,3,3,3,3,4,4,Yes,1,36-45,7-10 yrs,8K-12K,3.5
11288,35,Male,Married,Sales,Sales Representative,2,5,Life Sciences,15,Travel_Rarely,9220,12,0,No,12,12,10,8,9,8,3,4,4,1,3,3,3,No,0,26-35,10+ yrs,8K-12K,2.5
11041,53,Female,Divorced,Research & Development,Laboratory Technician,5,4,Human Resources,9,Travel_Rarely,15244,15,2,No,35,29,28,4,27,1,6,3,3,3,1,3,1,No,0,46-55,10+ yrs,12K+,2.0
11166,28,Male,Married,Human Resources,HR Business Partner,4,3,Human Resources,6,Travel_Frequently,11265,11,0,No,7,2,0,1,0,6,5,4,2,4,2,1,4,Yes,1,26-35,2-3 yrs,8K-12K,2.75
10808,35,Female,Married,Sales,Manager,1,2,Marketing,7,Travel_Rarely,5591,14,0,No,11,1,1,0,0,9,3,3,3,3,3,3,3,No,0,26-35,0-1 yrs,5K-8K,3.0
11461,39,Male,Single,Research & Development,Healthcare Representative,1,2,Medical,6,Non-Travel,6921,11,0,No,21,21,20,2,18,4,0,3,3,4,4,2,4,No,0,36-45,10+ yrs,5K-8K,3.5
11061,47,Male,Married,Research & Development,Manufacturing Director,1,3,Medical,2,Non-Travel,7667,14,0,No,29,2,2,0,1,0,5,3,3,1,1,4,3,No,0,46-55,2-3 yrs,5K-8K,2.25
10337,52,Female,Single,Research & Development,Research Director,2,2,Other,6,Travel_Rarely,10966,14,1,No,29,28,27,10,26,9,2,3,4,1,3,4,4,No,0,46-55,10+ yrs,8K-12K,3.0
10354,31,Female,Married,Research & Development,Healthcare Representative,2,3,Life Sciences,2,Non-Travel,8364,19,0,No,9,9,9,5,8,7,5,3,4,4,2,1,2,No,0,26-35,7-10 yrs,8K-12K,2.25
11099,41,Female,Married,Research & Development,Research Scientist,2,3,Technical Degree,4,Travel_Rarely,7467,12,1,No,17,0,0,0,0,6,4,3,3,1,3,3,3,No,0,36-45,0-1 yrs,5K-8K,2.5
10202,35,Female,Married,Research & Development,Manufacturing Director,1,3,Life Sciences,14,Travel_Frequently,6901,11,2,No,16,1,0,2,0,1,2,4,3,3,1,2,3,Yes,1,26-35,0-1 yrs,5K-8K,2.25
11404,37,Male,Single,Research & Development,Research Director,1,4,Medical,5,Travel_Rarely,6474,11,0,Yes,14,12,11,5,9,1,0,3,3,4,1,3,4,No,0,36-45,10+ yrs,5K-8K,3.0
10203,30,Male,Divorced,Sales,Sales Representative,1,3,Marketing,1,Travel_Rarely,5001,21,1,No,11,6,6,2,6,4,5,3,4,3,3,4,3,No,0,26-35,4-6 yrs,5K-8K,3.25
10076,31,Male,Divorced,Sales,Sales Executive,3,2,Life Sciences,6,Travel_Rarely,11059,12,1,No,7,0,0,0,0,8,2,3,3,1,4,2,1,No,0,26-35,0-1 yrs,8K-12K,2.0
10613,27,Male,Single,Human Resources,Human Resources,3,3,Marketing,1,Travel_Rarely,8526,16,1,No,4,2,1,1,0,3,5,4,3,2,3,2,2,Yes,1,26-35,2-3 yrs,8K-12K,2.25
11428,25,Male,Single,Research & Development,Healthcare Representative,1,3,Other,2,Travel_Frequently,5056,11,1,No,4,4,2,4,2,6,6,4,3,3,4,2,4,No,0,18-25,4-6 yrs,5K-8K,3.25
10351,38,Male,Divorced,Human Resources,Human Resources,1,4,Life Sciences,9,Travel_Rarely,7220,15,0,No,17,3,1,3,2,6,6,3,3,1,4,4,2,No,0,36-45,2-3 yrs,5K-8K,2.75
10083,18,Female,Divorced,Sales,Sales Executive,1,3,Technical Degree,15,Non-Travel,5242,12,0,Yes,0,0,0,0,0,6,4,3,3,1,4,4,2,Yes,1,18-25,0-1 yrs,5K-8K,2.75
11601,30,Male,Single,Research & Development,Manufacturing Director,1,2,Life Sciences,1,Travel_Frequently,8378,11,0,Yes,8,2,1,2,2,1,1,3,3,1,2,3,3,No,0,26-35,2-3 yrs,8K-12K,2.25
10108,25,Male,Single,Sales,Sales Executive,1,4,Life Sciences,3,Non-Travel,5835,13,1,No,5,0,0,0,0,8,2,4,4,4,3,3,3,Yes,1,18-25,0-1 yrs,5K-8K,3.25
10644,20,Male,Married,Sales,Manager,5,5,Life Sciences,1,Travel_Frequently,13021,19,1,Yes,0,0,0,0,0,4,2,3,3,4,1,2,3,Yes,1,18-25,0-1 yrs,12K+,2.5
10787,33,Female,Single,Research & Development,Manufacturing Director,1,3,Technical Degree,13,Travel_Rarely,3851,21,0,No,10,3,1,3,2,0,0,3,4,3,2,3,4,No,0,26-35,2-3 yrs,3K-5K,3.0
10109,36,Female,Married,Research & Development,Laboratory Technician,1,1,Medical,11,Travel_Rarely,6367,11,0,No,13,3,3,2,0,3,0,3,3,3,4,2,3,No,0,36-45,2-3 yrs,5K-8K,3.0
11332,37,Female,Divorced,Sales,Sales Representative,3,3,Technical Degree,1,Travel_Rarely,10337,15,2,No,15,1,0,0,0,6,2,3,3,4,3,4,2,No,0,36-45,0-1 yrs,8K-12K,3.25
10538,29,Male,Divorced,Sales,Manager,3,3,Life Sciences,16,Travel_Rarely,8084,14,1,No,8,3,0,1,1,3,6,3,3,2,4,4,3,No,0,26-35,2-3 yrs,8K-12K,3.25
10725,18,Male,Divorced,Research & Development,Laboratory Technician,1,1,Life Sciences,1,Travel_Rarely,4934,17,1,No,0,0,0,0,0,0,1,3,3,2,4,4,1,No,0,18-25,0-1 yrs,3K-5K,2.75
11106,49,Male,Single,Research & Development,Laboratory Technician,2,5,Life Sciences,1,Travel_Rarely,9553,13,1,No,30,23,23,5,21,9,6,3,3,4,3,2,4,No,0,46-55,10+ yrs,8K-12K,3.25
10749,46,Female,Single,Sales,Sales Representative,2,2,Medical,2,Travel_Rarely,9524,13,0,No,28,3,1,2,0,9,1,3,3,2,1,2,1,No,0,46-55,2-3 yrs,8K-12K,1.5
11518,26,Male,Divorced,Research & Development,Laboratory Technician,2,5,Technical Degree,1,Travel_Rarely,8834,15,0,No,8,5,2,3,2,8,5,3,4,4,4,2,3,No,0,26-35,4-6 yrs,8K-12K,3.25
10298,30,Male,Single,Research & Development,Healthcare Representative,2,3,Technical Degree,15,Non-Travel,5658,12,0,Yes,6,5,5,2,5,5,0,3,3,4,4,3,4,No,0,26-35,4-6 yrs,5K-8K,3.75
11389,49,Female,Married,Sales,Sales Executive,5,3,Life Sciences,2,Travel_Rarely,16190,11,2,No,28,5,4,5,2,6,6,3,3,1,2,4,3,No,0,46-55,4-6 yrs,12K+,2.5
11116,38,Male,Single,Research & Development,Manufacturing Director,3,2,Technical Degree,6,Travel_Rarely,9835,11,1,No,15,7,5,6,4,6,1,3,3,4,4,4,4,No,0,36-45,7-10 yrs,8K-12K,4.0
10049,48,Male,Single,Human Resources,Human Resources,2,4,Other,6,Travel_Rarely,9691,11,1,No,30,6,6,2,4,7,2,3,2,4,4,3,4,No,0,46-55,4-6 yrs,8K-12K,3.75
10709,33,Female,Single,Research & Development,Research Scientist,5,3,Marketing,3,Travel_Rarely,14213,17,0,No,10,3,1,3,2,8,4,3,3,3,1,4,2,No,0,26-35,2-3 yrs,12K+,2.5
10762,37,Female,Single,Research & Development,Research Scientist,5,3,Other,1,Travel_Rarely,15183,11,1,No,19,19,16,2,19,1,5,3,1,3,3,3,4,No,0,36-45,10+ yrs,12K+,3.25
10737,40,Female,Divorced,Research & Development,Research Scientist,3,3,Other,12,Travel_Frequently,10257,19,2,No,17,3,1,0,0,9,0,3,4,1,4,4,1,No,0,36-45,2-3 yrs,8K-12K,2.5
11136,24,Female,Divorced,Sales,Manager,1,4,Marketing,2,Travel_Rarely,5651,15,3,No,3,1,0,1,1,4,5,3,2,3,3,4,2,No,0,18-25,0-1 yrs,5K-8K,3.0
11211,52,Female,Married,Research & Development,Laboratory Technician,4,5,Medical,11,Travel_Rarely,14172,18,0,Yes,34,11,8,0,11,1,5,3,3,2,1,2,1,No,0,46-55,10+ yrs,12K+,1.5
10242,36,Male,Divorced,Research & Development,Laboratory Technician,4,4,Life Sciences,9,Travel_Rarely,13133,16,1,No,17,17,15,9,14,6,2,3,3,4,2,4,2,No,0,36-45,10+ yrs,12K+,3.0
10342,49,Male,Married,Research & Development,Manager,2,2,Technical Degree,6,Travel_Rarely,9936,23,0,Yes,31,20,20,9,19,2,6,3,3,4,3,3,2,No,0,46-55,10+ yrs,8K-12K,3.0
10491,32,Male,Single,Research & Development,Healthcare Representative,1,5,Medical,5,Travel_Rarely,6731,11,0,Yes,11,11,9,5,10,2,3,3,4,4,1,3,4,No,0,26-35,10+ yrs,5K-8K,3.0
10562,26,Female,Single,Sales,Manager,1,5,Life Sciences,15,Travel_Frequently,5163,11,1,No,4,0,0,0,0,6,0,3,3,2,3,4,4,No,0,26-35,0-1 yrs,5K-8K,3.25
11294,40,Male,Married,Research & Development,Healthcare Representative,1,5,Human Resources,13,Travel_Rarely,8378,16,3,Yes,16,11,11,0,9,6,0,3,1,1,3,2,4,No,0,36-45,10+ yrs,8K-12K,2.5
11007,51,Male,Single,Research & Development,Laboratory Technician,4,2,Life Sciences,8,Travel_Rarely,14370,22,0,No,29,18,17,10,17,0,0,4,3,3,3,1,3,No,0,46-55,10+ yrs,12K+,2.5
10914,30,Male,Married,Research & Development,Research Scientist,4,2,Life Sciences,29,Travel_Rarely,12484,13,0,No,12,1,0,0,1,6,2,3,2,4,1,3,4,Yes,1,26-35,0-1 yrs,12K+,3.0
10448,30,Male,Married,Research & Development,Research Director,1,3,Technical Degree,7,Travel_Rarely,4935,13,1,Yes,10,0,0,0,0,0,3,4,2,1,3,3,4,No,0,26-35,0-1 yrs,3K-5K,2.75
10917,19,Female,Married,Research & Development,Manager,1,3,Life Sciences,1,Travel_Rarely,4191,11,0,Yes,0,0,0,0,0,0,2,3,4,3,2,3,1,No,0,18-25,0-1 yrs,3K-5K,2.25
10369,28,Male,Married,Research & Development,Research Scientist,5,3,Marketing,13,Travel_Rarely,14657,11,0,No,9,4,4,1,3,3,1,3,2,2,4,4,1,No,0,26-35,4-6 yrs,12K+,2.75
10813,36,Female,Married,Sales,Sales Representative,1,3,Medical,1,Travel_Rarely,4254,11,0,Yes,23,1,1,0,0,6,0,3,3,2,1,3,3,Yes,1,36-45,0-1 yrs,3K-5K,2.25
10714,36,Female,Divorced,Research & Development,Research Director,3,3,Life Sciences,27,Travel_Rarely,10839,18,3,Yes,12,5,3,0,3,9,4,4,3,3,3,1,3,Yes,1,36-45,4-6 yrs,8K-12K,2.5
10526,45,Male,Married,Research & Development,Manager,2,3,Life Sciences,3,Travel_Rarely,8488,14,2,No,27,24,23,13,21,5,0,3,2,3,2,4,3,No,0,36-45,10+ yrs,8K-12K,3.0
11267,49,Female,Divorced,Human Resources,Human Resources,2,2,Medical,2,Travel_Frequently,10507,19,3,Yes,25,17,16,12,17,8,5,3,1,3,4,3,4,No,0,46-55,10+ yrs,8K-12K,3.5
10648,33,Male,Single,Research & Development,Laboratory Technician,3,4,Technical Degree,8,Travel_Rarely,10568,13,1,No,14,3,0,2,3,6,2,3,3,1,3,3,3,No,0,26-35,2-3 yrs,8K-12K,2.5
10127,36,Male,Divorced,Sales,Sales Executive,2,5,Technical Degree,1,Travel_Frequently,8919,19,0,No,17,2,1,2,0,3,2,3,3,1,4,3,4,No,0,36-45,2-3 yrs,8K-12K,3.0
10383,40,Male,Married,Sales,Manager,2,4,Marketing,14,Travel_Rarely,8722,16,0,No,16,16,13,7,14,9,5,3,4,1,1,3,3,No,0,36-45,10+ yrs,8K-12K,2.0
10054,35,Male,Single,Research & Development,Manufacturing Director,2,5,Life Sciences,4,Travel_Rarely,7239,11,1,No,15,1,1,1,0,7,0,3,2,4,3,3,1,No,0,26-35,0-1 yrs,5K-8K,2.75
10829,51,Female,Married,Human Resources,Human Resources,1,3,Technical Degree,1,Travel_Rarely,7367,11,1,No,31,27,25,11,26,5,0,4,3,2,4,3,3,No,0,46-55,10+ yrs,5K-8K,3.0
11117,42,Female,Divorced,Research & Development,Research Scientist,1,2,Life Sciences,1,Travel_Rarely,4647,13,0,Yes,18,15,13,4,12,1,1,3,3,3,4,3,3,No,0,36-45,10+ yrs,3K-5K,3.25
11174,29,Female,Single,Research & Development,Healthcare Representative,1,3,Marketing,3,Non-Travel,6188,12,1,No,9,4,1,0,3,7,2,3,2,3,4,4,3,No,0,26-35,4-6 yrs,5K-8K,3.5
10522,38,Male,Divorced,Human Resources,Human Resources,2,2,Medical,5,Travel_Rarely,7604,15,0,Yes,16,5,3,3,3,4,3,3,1,1,4,3,1,No,0,36-45,4-6 yrs,5K-8K,2.25
11623,32,Female,Divorced,Sales,Sales Representative,3,3,Technical Degree,2,Travel_Rarely,8873,12,1,Yes,9,7,6,2,5,9,6,3,2,4,3,2,2,No,0,26-35,7-10 yrs,8K-12K,2.75
10755,25,Male,Divorced,Sales,Sales Executive,2,2,Other,2,Non-Travel,7762,25,2,No,5,0,0,2,0,4,1,3,3,1,4,2,4,No,0,18-25,0-1 yrs,5K-8K,2.75
11562,42,Female,Divorced,Research & Development,Research Scientist,2,3,Human Resources,6,Travel_Rarely,9321,14,1,No,21,19,16,1,16,2,4,3,3,3,4,3,4,No,0,36-45,10+ yrs,8K-12K,3.5
10066,38,Male,Married,Sales,Sales Executive,2,2,Medical,2,Travel_Rarely,10317,12,1,No,18,4,1,2,2,1,5,3,2,3,2,2,4,No,0,36-45,4-6 yrs,8K-12K,2.75
11513,54,Female,Married,Research & Development,Manager,1,4,Other,2,Travel_Rarely,7189,11,1,No,30,1,0,1,0,2,4,3,3,3,3,3,4,Yes,1,46-55,0-1 yrs,5K-8K,3.25
10061,40,Male,Married,Human Resources,Manager,4,2,Technical Degree,4,Travel_Rarely,14069,11,1,No,16,3,0,1,1,7,3,3,1,1,4,3,4,Yes,1,36-45,2-3 yrs,12K+,3.0
11219,25,Male,Married,Research & Development,Healthcare Representative,2,5,Life Sciences,1,Travel_Rarely,7672,17,2,No,4,4,3,2,2,4,5,3,1,4,1,3,4,No,0,18-25,4-6 yrs,5K-8K,3.0
11298,38,Male,Single,Research & Development,Manufacturing Director,3,4,Life Sciences,8,Travel_Rarely,9632,15,3,No,15,10,9,8,9,8,2,3,3,4,4,3,3,No,0,36-45,7-10 yrs,8K-12K,3.5
10232,40,Female,Married,Human Resources,HR Business Partner,2,4,Human Resources,1,Travel_Frequently,6601,11,0,No,16,13,11,4,12,3,5,4,2,1,4,3,4,No,0,36-45,10+ yrs,5K-8K,3.0
11001,31,Male,Divorced,Research & Development,Research Scientist,2,3,Technical Degree,12,Travel_Rarely,7508,11,0,Yes,11,6,6,6,6,6,0,3,3,3,2,3,4,No,0,26-35,4-6 yrs,5K-8K,3.0
11143,40,Male,Married,Sales,Sales Executive,1,3,Technical Degree,3,Travel_Rarely,5268,20,0,Yes,22,9,9,7,6,8,5,3,2,3,1,3,4,Yes,1,36-45,7-10 yrs,5K-8K,2.75
10574,34,Male,Married,Sales,Sales Executive,1,2,Life Sciences,1,Travel_Rarely,5582,17,0,No,12,8,6,7,6,7,0,3,3,4,4,3,1,No,0,26-35,7-10 yrs,5K-8K,3.0
10009,36,Female,Single,Sales,Manager,1,5,Life Sciences,8,Travel_Rarely,8378,13,0,No,15,2,1,1,0,8,0,3,2,1,2,2,3,No,0,36-45,2-3 yrs,8K-12K,2.0
10694,41,Male,Married,Research & Development,Healthcare Representative,1,3,Marketing,6,Travel_Frequently,7062,17,1,No,18,18,18,3,15,4,4,4,3,3,3,4,4,No,0,36-45,10+ yrs,5K-8K,3.5
10112,21,Female,Divorced,Research & Development,Research Scientist,3,3,Human Resources,10,Travel_Rarely,8378,20,0,No,0,0,0,0,0,1,3,4,4,4,2,4,3,No,0,18-25,0-1 yrs,8K-12K,3.25
11085,48,Male,Single,Sales,Sales Representative,2,2,Life Sciences,2,Travel_Rarely,9435,11,0,Yes,30,12,11,0,12,1,5,3,2,3,4,3,4,Yes,1,46-55,10+ yrs,8K-12K,3.5
10578,23,Female,Single,Research & Development,Laboratory Technician,2,4,Life Sciences,9,Non-Travel,5954,14,1,Yes,0,0,0,0,0,9,5,4,2,1,4,3,3,Yes,1,18-25,0-1 yrs,5K-8K,2.75
10664,37,Female,Single,Sales,Sales Executive,2,2,Life Sciences,8,Travel_Rarely,8535,12,1,Yes,15,0,0,0,0,3,3,3,3,3,2,2,3,No,0,36-45,0-1 yrs,8K-12K,2.5
11371,43,Female,Married,Sales,Manager,1,3,Medical,8,Travel_Rarely,6036,21,0,Yes,20,2,0,1,1,2,1,4,3,3,1,3,3,No,0,36-45,2-3 yrs,5K-8K,2.5
11538,41,Male,Married,Research & Development,Manufacturing Director,2,4,Technical Degree,27,Travel_Rarely,8088,11,1,Yes,20,4,4,0,2,2,5,3,3,2,2,3,2,Yes,1,36-45,4-6 yrs,8K-12K,2.25
10535,36,Male,Single,Research & Development,Laboratory Technician,2,4,Life Sciences,5,Travel_Rarely,7727,11,0,Yes,18,7,4,5,5,5,3,3,2,2,2,3,4,Yes,1,36-45,7-10 yrs,5K-8K,2.75
11154,25,Female,Married,Human Resources,Human Resources,1,5,Marketing,16,Travel_Frequently,4407,11,2,Yes,4,3,3,1,3,0,5,3,2,4,3,4,4,No,0,18-25,2-3 yrs,3K-5K,3.75
11253,32,Male,Single,Sales,Sales Executive,4,4,Human Resources,7,Travel_Rarely,12256,14,2,No,8,8,5,2,6,1,4,4,3,3,4,3,2,No,0,26-35,7-10 yrs,12K+,3.0
10401,30,Female,Married,Research & Development,Manufacturing Director,3,4,Marketing,3,Non-Travel,8955,11,1,No,8,2,0,2,1,7,0,3,2,4,4,3,3,No,0,26-35,2-3 yrs,8K-12K,3.5
11198,37,Male,Divorced,Research & Development,Healthcare Representative,1,3,Human Resources,2,Travel_Rarely,5204,12,1,Yes,14,5,4,4,4,1,5,3,3,3,2,3,3,No,0,36-45,4-6 yrs,5K-8K,2.75
11358,37,Female,Divorced,Sales,Manager,2,2,Medical,9,Travel_Rarely,8012,11,0,No,16,8,6,2,7,3,1,3,3,2,3,3,3,Yes,1,36-45,7-10 yrs,8K-12K,2.75
10962,25,Male,Single,Research & Development,Research Director,2,2,Medical,4,Travel_Rarely,6825,16,1,No,4,3,3,2,3,1,6,3,3,3,2,3,2,No,0,18-25,2-3 yrs,5K-8K,2.5
10852,39,Male,Divorced,Research & Development,Laboratory Technician,2,2,Medical,5,Travel_Rarely,7015,17,0,No,16,3,3,0,3,8,3,4,3,2,1,4,2,Yes,1,36-45,2-3 yrs,5K-8K,2.25
11291,35,Male,Single,Research & Development,Laboratory Technician,3,5,Life Sciences,8,Travel_Rarely,10487,14,0,Yes,17,0,0,0,0,8,5,3,3,3,4,3,1,No,0,26-35,0-1 yrs,8K-12K,2.75
10650,44,Male,Single,Research & Development,Research Director,1,2,Marketing,3,Travel_Frequently,5914,11,0,Yes,25,7,7,7,7,4,3,3,1,1,2,3,1,No,0,36-45,7-10 yrs,5K-8K,1.75
11520,35,Male,Married,Sales,Sales Representative,2,5,Life Sciences,9,Travel_Rarely,8412,16,0,No,15,14,12,8,11,0,2,3,2,1,2,4,1,No,0,26-35,10+ yrs,8K-12K,2.0
10303,24,Male,Single,Research & Development,Laboratory Technician,1,1,Life Sciences,11,Travel_Rarely,4708,15,1,No,1,0,0,0,0,9,4,4,3,3,3,3,4,No,0,18-25,0-1 yrs,3K-5K,3.25
10465,39,Female,Single,Sales,Sales Executive,2,2,Life Sciences,28,Travel_Rarely,6049,17,2,No,15,3,3,0,1,6,4,3,3,3,4,4,3,No,0,36-45,2-3 yrs,5K-8K,3.5
11390,38,Female,Single,Research & Development,Research Director,2,2,Other,17,Travel_Rarely,10296,18,0,No,19,1,0,2,0,8,3,3,3,3,3,3,3,No,0,36-45,0-1 yrs,8K-12K,3.0
10162,30,Female,Divorced,Research & Development,Laboratory Technician,1,3,Human Resources,1,Travel_Rarely,4645,14,0,No,8,6,6,1,4,3,0,3,3,3,2,1,2,Yes,1,26-35,4-6 yrs,3K-5K,2.0
10159,55,Female,Married,Research & Development,Research Scientist,5,4,Technical Degree,2,Travel_Rarely,16133,20,2,No,32,19,18,2,17,5,3,3,4,2,4,3,4,No,0,46-55,10+ yrs,12K+,3.25
10482,25,Female,Divorced,Research & Development,Research Director,4,4,Life Sciences,7,Travel_Rarely,11957,16,0,Yes,6,5,4,3,4,2,6,3,3,3,1,2,2,No,0,18-25,4-6 yrs,8K-12K,2.0
11592,30,Female,Married,Human Resources,HR Business Partner,3,3,Marketing,2,Travel_Rarely,9201,19,1,No,12,1,0,0,0,1,1,3,3,2,2,3,3,No,0,26-35,0-1 yrs,8K-12K,2.5
11167,32,Female,Married,Research & Development,Manager,1,3,Life Sciences,11,Travel_Rarely,5608,19,2,No,13,7,7,2,5,0,2,4,3,4,4,3,2,No,0,26-35,7-10 yrs,5K-8K,3.25
10269,18,Male,Married,Research & Development,Research Director,3,2,Medical,7,Travel_Rarely,10552,13,0,No,0,0,0,0,0,6,3,3,4,1,3,3,3,No,0,18-25,0-1 yrs,8K-12K,2.5
10921,41,Female,Single,Human Resources,Human Resources,1,4,Medical,3,Travel_Frequently,7880,11,0,Yes,21,10,7,3,8,2,2,4,3,4,2,3,3,No,0,36-45,7-10 yrs,5K-8K,3.0
11242,32,Female,Divorced,Sales,Manager,1,4,Marketing,10,Travel_Rarely,4662,14,0,Yes,13,6,5,1,6,9,6,3,3,1,4,1,3,Yes,1,26-35,4-6 yrs,3K-5K,2.25
