EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,Education,EducationField,DistanceFromHome,BusinessTravel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,PerformanceRating,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Attrition,EmployeeCount,Over18,StandardHours
11380,32.0,Male,Married,Research & Development,Manager,5,5,Life Sciences,14,Non-Travel,13843.0,16,3,No,12,8,6,8.0,7,7,5,3,3,3.0,1.0,2,1,No,1,Y,80
10956,28.0,Female,Married,Sales,Manager,2,4,Life Sciences,1,Travel_Rarely,8308.0,11,0,Yes,4,0,0,0.0,0,0,0,3,3,3.0,4.0,2,4,Yes,1,Y,80
11639,32.0,Female,Divorced,Sales,Manager,1,2,Technical Degree,5,Non-Travel,4595.0,11,2,Yes,13,5,4,3.0,2,7,5,3,3,1.0,4.0,4,2,No,1,Y,80
10952,25.0,Female,Married,Sales,  Manager  ,2,3,Marketing,19,Travel_Rarely,7672.0,18,1,No,2,1,1,1.0,0,2,5,3,3,4.0,1.0,2,3,Yes,1,Y,80
11474,28.0,Male,Single,Sales,Manager,2,3,Life Sciences,17,Travel_Rarely,7763.0,11,1,No,10,1,0,0.0,0,9,2,3,2,4.0,2.0,4,4,No,1,Y,80
11173,43.0,Male,Married,Research & Development,Healthcare Representative,5,3,Marketing,1,Travel_Rarely,16744.0,15,0,No,23,10,8,2.0,9,4,0,3,2,3.0,2.0,2,3,No,1,Y,80
11314,30.0,Female,Married,Research & Development,Research Scientist,2,2,Technical Degree,3,Travel_Rarely,6552.0,21,1,Yes,9,7,7,0.0,6,4,2,3,3,2.0,3.0,3,3,No,1,Y,80
10679,32.0,Male,Married,Sales,Sales Executive,1,4,Life Sciences,2,Travel_Rarely,5448.0,11,0,No,10,8,6,6.0,8,2,1,3,3,1.0,3.0,2,3,No,1,Y,80
10585,39.0,Male,Divorced,Sales,Sales Executive,1,4,Technical Degree,15,Travel_Frequently,5550.0,18,1,No,20,1,0,1.0,0,3,2,3,3,2.0,4.0,3,3,No,1,Y,80
10598,32.0,Female,Married,Research & Development,Manager,2,3,Marketing,13,Travel_Rarely,6781.0,11,1,No,12,4,2,1.0,4,8,3,3,3,2.0,3.0,3,4,No,1,Y,80
10572,26.0,Female,Single,Sales,Sales Executive,2,4,Medical,9,Travel_Rarely,8357.0,17,1,No,6,5,2,0.0,2,1,3,3,2,4.0,4.0,3,2,No,1,Y,80
10743,18.0,Male,Married,Research & Development,Healthcare Representative,1,3,Medical,7,Travel_Rarely,4702.0,11,2,No,0,0,0,0.0,0,0,3,3,2,4.0,2.0,4,2,No,1,Y,80
11308,44.0,Male,Married,Sales,Sales Representative,1,2,Life Sciences,18,Travel_Rarely,6167.0,16,0,No,23,2,0,0.0,1,5,0,3,2,3.0,2.0,3,3,Yes,1,Y,80
10919,29.0,Female,Married,Research & Development,Healthcare Representative,2,4,Other,1,Travel_Rarely,8260.0,13,1,No,8,4,3,3.0,4,3,6,3,3,3.0,2.0,3,3,No,1,Y,80
10092,38.0,Female,Married,Sales,Sales Executive,3,4,Human Resources,5,Travel_Rarely,10640.0,12,1,Yes,15,4,4,4.0,3,0,6,3,3,4.0,3.0,4,1,No,1,Y,80
10428,36.0,Female,Divorced,Research & Development,Research Director,2,2,Other,23,Travel_Rarely,8059.0,12,1,No,13,9,7,3.0,7,9,0,3,3,3.0,3.0,4,4,Yes,1,Y,80
11288,35.0,Male,Married,Sales,Sales Representative,2,5,Life Sciences,15,Travel_Rarely,9220.0,12,0,No,12,12,10,8.0,9,8,3,4,4,1.0,3.0,3,3,No,1,Y,80
11041,53.0,Female,Divorced,Research & Development,Laboratory Technician,5,4,Human Resources,9,Travel_Rarely,15244.0,15,2,No,35,29,28,4.0,27,1,6,3,3,3.0,1.0,3,1,No,1,Y,80
11166,28.0,Male,Married,Human Resources,HR Business Partner,4,3,Human Resources,6,Travel_Frequently,11265.0,11,0,No,7,2,0,1.0,0,6,5,4,2,4.0,2.0,1,4,Yes,1,Y,80
10808,35.0,Female,Married,Sales,Manager,1,2,Marketing,7,Travel_Rarely,5591.0,14,0,No,11,1,1,0.0,0,9,3,3,3,3.0,3.0,3,3,No,1,Y,80
11461,39.0,Male,Single,R&D,Healthcare Representative,1,2,Medical,6,Non-Travel,6921.0,11,0,No,21,21,20,,18,4,0,3,3,4.0,4.0,2,4,No,1,Y,80
11061,47.0,Male,Married,Research & Development,Manufacturing Director,1,3,Medical,2,Non-Travel,7667.0,14,0,No,29,2,2,0.0,1,0,5,3,3,1.0,1.0,4,3,No,1,Y,80
10337,52.0,Female,Single,Research & Development,Research Director,2,2,Other,6,Travel_Rarely,10966.0,14,1,No,29,28,27,10.0,26,9,2,3,4,1.0,3.0,4,4,No,1,Y,80
10354,31.0,Female,Married,Research & Development,Healthcare Representative,2,3,Life Sciences,2,Non-Travel,"$8,364",19,0,No,9,9,9,5.0,8,7,5,3,4,4.0,2.0,1,2,No,1,Y,80
11099,41.0,Female,Married,Research & Development,Research Scientist,2,3,Technical Degree,4,Travel_Rarely,7467.0,12,1,No,17,0,0,0.0,0,6,4,3,3,1.0,,3,3,No,1,Y,80
10202,35.0,Female,Married,Research & Development,Manufacturing Director,1,3,Life Sciences,14,Travel_Frequently,6901.0,11,2,No,16,1,0,,0,1,2,4,3,3.0,1.0,2,3,Yes,1,Y,80
11404,37.0,Male,Single,Research & Development,Research Director,1,4,Medical,5,Travel_Rarely,6474.0,11,0,Yes,14,12,11,5.0,9,1,0,3,3,4.0,1.0,3,4,No,1,Y,80
10203,30.0,Male,Divorced,Sales,Sales Representative,1,3,Marketing,1,Travel_Rarely,5001.0,21,1,No,11,6,6,2.0,6,4,5,3,4,3.0,3.0,4,3,No,1,Y,80
10076,31.0,Male,Divorced,Sales,Sales Executive,3,2,Life Sciences,6,Travel_Rarely,11059.0,12,1,No,7,0,0,0.0,0,8,2,3,3,1.0,4.0,2,1,No,1,Y,80
10613,27.0,Male,Single,Human Resources,Human Resources,3,3,Marketing,1,Travel_Rarely,8526.0,16,1,No,4,2,1,1.0,0,3,5,4,3,2.0,3.0,2,2,Yes,1,Y,80
11428,25.0,Male,Single,Research & Development,Healthcare Representative,1,3,Other,2,Travel_Frequently,5056.0,11,1,No,4,4,2,4.0,2,6,6,4,3,3.0,4.0,2,4,No,1,Y,80
10351,38.0,Male,Divorced,Human Resources,Human Resources,1,4,Life Sciences,9,Travel_Rarely,7220.0,15,0,No,17,3,1,3.0,2,6,6,3,3,1.0,4.0,4,2,No,1,Y,80
10083,18.0,Female,Divorced,Sales,Sales Executive,1,3,Technical Degree,15,Non-Travel,5242.0,12,0,Yes,0,0,0,0.0,0,6,4,3,3,1.0,4.0,4,2,Yes,1,Y,80
11601,30.0,Male,Single,Research & Development,Manufacturing Director,1,2,Life Sciences,1,Travel_Frequently,,11,0,Yes,8,2,1,2.0,2,1,1,3,3,1.0,2.0,3,3,No,1,Y,80
10108,25.0,Male,Single,Sales,Sales Executive,1,4,Life Sciences,3,Non-Travel,5835.0,13,1,No,5,0,0,0.0,0,8,2,4,4,4.0,3.0,3,3,Yes,1,Y,80
10644,20.0,Male,Married,Sales,Manager,5,5,Life Sciences,1,Travel_Frequently,13021.0,19,1,Yes,0,0,0,0.0,0,4,2,3,3,4.0,1.0,2,3,Yes,1,Y,80
10787,33.0,Female,Single,Research & Development,Manufacturing Director,1,3,Technical Degree,13,Travel_Rarely,3851.0,21,0,No,10,3,1,3.0,2,0,0,3,4,3.0,2.0,3,4,No,1,Y,80
10109,36.0,Female,Married,Research & Development,Laboratory Technician,1,1,Medical,11,Travel_Rarely,"$6,367",11,0,No,13,3,3,2.0,0,3,0,3,3,3.0,4.0,2,3,No,1,Y,80
11332,37.0,Female,Divorced,Sales,Sales Representative,3,3,Technical Degree,1,Travel_Rarely,10337.0,15,2,No,15,1,0,0.0,0,6,2,3,3,4.0,3.0,4,2,No,1,Y,80
10538,29.0,Male,Divorced,Sales,Manager,3,3,Life Sciences,16,Travel_Rarely,8084.0,14,1,No,8,3,0,1.0,1,3,6,3,3,2.0,4.0,4,3,No,1,Y,80
10725,18.0,Male,Divorced,Research & Development,Laboratory Technician,1,1,Life Sciences,1 km,Travel_Rarely,4934.0,17,1,No,0,0,0,0.0,0,0,1,3,3,2.0,4.0,4,1,No,1,Y,80
11106,49.0,Male,Single,Research & Development,Laboratory Technician,2,5,Life Sciences,1,Travel_Rarely,9553.0,13,1,No,30,23,23,5.0,21,9,6,3,3,4.0,3.0,2,4,No,1,Y,80
10749,46.0,Female,Single,Sales,Sales Representative,2,2,Medical,2,Travel_Rarely,9524.0,13,0,No,28,3,1,2.0,0,9,1,3,3,2.0,1.0,2,1,No,1,Y,80
11518,26.0,Male,Divorced,Research & Development,Laboratory Technician,2,5,Technical Degree,1,Travel_Rarely,8834.0,15,0,No,8,5,2,3.0,2,8,5,3,4,4.0,4.0,2,3,No,1,Y,80
10298,30.0,Male,Single,Research & Development,Healthcare Representative,2,3,Technical Degree,15,Non-Travel,5658.0,12,0,Yes,6,5,5,,5,5,0,3,3,4.0,4.0,3,4,No,1,Y,80
11389,49.0,Female,Married,Sales,Sales Executive,5,3,Life Sciences,2,Travel_Rarely,"$16,190",11,2,No,28,5,4,5.0,2,6,6,3,3,1.0,2.0,4,3,No,1,Y,80
11116,38.0,Male,Single,Research & Development,Manufacturing Director,3,2,Technical Degree,6,Travel_Rarely,9835.0,11,1,No,15,7,5,6.0,4,6,1,3,3,4.0,4.0,4,4,No,1,Y,80
10049,48.0,Male,Single,Human Resources,Human Resources,2,4,Other,6,Travel_Rarely,9691.0,11,1,No,30,6,6,2.0,4,7,2,3,2,4.0,4.0,3,4,No,1,Y,80
10709,33.0,Female,Single,Research & Development,Research Scientist,5,3,Marketing,3,Travel_Rarely,14213.0,17,0,No,10,3,1,3.0,2,8,4,3,3,3.0,1.0,4,2,No,1,Y,80
10762,37.0,Female,Single,Research & Development,Research Scientist,5,3,Other,1,Travel_Rarely,15183.0,11,1,No,19,19,16,2.0,19,1,5,3,1,3.0,3.0,3,4,No,1,Y,80
10737,40.0,Female,Divorced,R&D,Research Scientist,3,3,Other,12,Travel_Frequently,10257.0,19,2,No,17,3,1,0.0,0,9,0,3,4,1.0,4.0,4,1,No,1,Y,80
11136,24.0,Female,Divorced,Sales,Manager,1,4,Marketing,2,Travel_Rarely,5651.0,15,3,No,3,1,0,1.0,1,4,5,3,2,3.0,3.0,4,2,No,1,Y,80
11211,52.0,Female,Married,Research & Development,Laboratory Technician,4,5,Medical,11,Travel_Rarely,14172.0,18,0,Yes,34,11,8,0.0,11,1,5,3,3,2.0,1.0,2,1,No,1,Y,80
10242,36.0,Male,Divorced,Research & Development,Laboratory Technician,4,4,Life Sciences,9,Travel_Rarely,13133.0,16,1,No,17,17,15,9.0,14,6,2,3,3,4.0,2.0,4,2,No,1,Y,80
10342,49.0,Male,Married,Research & Development,Manager,2,2,Technical Degree,6,Travel_Rarely,9936.0,23,0,Yes,31,20,20,9.0,19,2,6,3,3,4.0,3.0,3,2,No,1,Y,80
10491,32.0,Male,Single,Research & Development,Healthcare Representative,1,5,Medical,5,Travel_Rarely,6731.0,11,0,Yes,11,11,9,5.0,10,2,3,3,4,4.0,1.0,3,4,No,1,Y,80
10562,26.0,Female,Single,Sales,Manager,1,5,Life Sciences,15,Travel_Frequently,5163.0,11,1,No,4,0,0,0.0,0,6,0,3,3,2.0,3.0,4,4,No,1,Y,80
11294,40.0,Male,Married,Research & Development,Healthcare Representative,1,5,Human Resources,13,Travel_Rarely,,16,3,Yes,16,11,11,0.0,9,6,0,3,1,1.0,3.0,2,4,No,1,Y,80
11007,51.0,Male,Single,Research & Development,Laboratory Technician,4,2,Life Sciences,8,Travel_Rarely,14370.0,22,0,No,29,18,17,10.0,17,0,0,4,3,3.0,3.0,1,3,No,1,Y,80
10914,30.0,Male,Married,Research & Development,  Research Scientist  ,4,2,Life Sciences,29,Travel_Rarely,12484.0,13,0,No,12,1,0,0.0,1,6,2,3,2,4.0,1.0,3,4,Yes,1,Y,80
10448,30.0,Male,Married,Research & Development,Research Director,1,3,Technical Degree,7,Travel_Rarely,4935.0,13,1,Yes,10,0,0,0.0,0,0,3,4,2,1.0,3.0,3,4,No,1,Y,80
10917,19.0,Female,Married,Research & Development,Manager,1,3,Life Sciences,1,Travel_Rarely,4191.0,11,0,Yes,0,0,0,0.0,0,0,2,3,4,3.0,2.0,3,1,No,1,Y,80
10369,28.0,Male,Married,Research & Development,Research Scientist,5,3,Marketing,13,Travel_Rarely,14657.0,11,0,No,9,4,4,1.0,3,3,1,3,2,2.0,4.0,4,1,No,1,Y,80
10813,-1.0,Female,Married,Sales,Sales Representative,1,3,Medical,1,Travel_Rarely,4254.0,11,0,Yes,23,1,1,0.0,0,6,0,3,3,2.0,1.0,3,3,Yes,1,Y,80
10714,36.0,Female,Divorced,Research & Development,Research Director,3,3,Life Sciences,27,Travel_Rarely,10839.0,18,3,Yes,12,5,3,0.0,3,9,4,4,3,3.0,3.0,1,3,Yes,1,Y,80
10526,45.0,Male,Married,Research & Development,Manager,2,3,Life Sciences,3,Travel_Rarely,8488.0,14,2,No,27,24,23,13.0,21,5,0,3,2,,2.0,4,3,No,1,Y,80
11267,49.0,Female,Divorced,Human Resources,Human Resources,2,2,Medical,2,Travel_Frequently,10507.0,19,3,Yes,25,17,16,12.0,17,8,5,3,1,3.0,4.0,3,4,No,1,Y,80
10648,33.0,Male,Single,Research & Development,Laboratory Technician,3,4,Technical Degree,8,Travel_Rarely,10568.0,13,1,No,14,3,0,2.0,3,6,2,3,3,1.0,3.0,3,3,No,1,Y,80
10127,36.0,Male,Divorced,Sales,Sales Executive,2,5,Technical Degree,1,Travel_Frequently,8919.0,19,0,No,17,2,1,2.0,0,3,2,3,3,1.0,4.0,3,4,No,1,Y,80
10383,40.0,Male,Married,Sales,Manager,2,4,Marketing,14,Travel_Rarely,8722.0,16,0,No,16,16,13,7.0,14,9,5,3,4,1.0,1.0,3,3,No,1,Y,80
10054,35.0,Male,Single,R&D,Manufacturing Director,2,5,Life Sciences,4,Travel_Rarely,7239.0,11,1,No,15,1,1,1.0,0,7,0,3,2,4.0,3.0,3,1,No,1,Y,80
10829,51.0,Female,Married,Human Resources,Human Resources,1,3,Technical Degree,1,Travel_Rarely,7367.0,11,1,NO,31,27,25,11.0,26,5,0,4,3,2.0,4.0,3,3,No,1,Y,80
11117,42.0,Female,Divorced,Research & Development,Research Scientist,1,2,Life Sciences,1,Travel_Rarely,4647.0,13,0,Yes,18,15,13,4.0,12,1,1,3,3,3.0,4.0,3,3,No,1,Y,80
11174,29.0,Female,Single,Research & Development,Healthcare Representative,1,3,Marketing,3,Non-Travel,6188.0,12,1,No,9,4,1,0.0,3,7,2,3,2,3.0,4.0,4,3,No,1,Y,80
10522,38.0,Male,Divorced,Human Resources,Human Resources,2,2,Medical,5,Travel_Rarely,"$7,604",15,0,Yes,16,5,3,3.0,3,4,3,3,1,1.0,4.0,3,1,No,1,Y,80
11623,32.0,Female,Divorced,SALES,Sales Representative,3,3,Technical Degree,2,Travel_Rarely,8873.0,12,1,Yes,9,7,6,2.0,5,9,6,3,2,4.0,3.0,2,2,No,1,Y,80
10755,25.0,Male,Divorced,Sales ,Sales Executive,2,2,Other,2,Non-Travel,7762.0,25,2,No,5,0,0,,0,4,1,3,3,1.0,4.0,2,4,No,1,Y,80
11562,42.0,Female,Divorced,Research & Development,Research Scientist,2,3,Human Resources,6,Travel_Rarely,9321.0,14,1,No,21,19,16,1.0,16,2,4,3,3,3.0,4.0,3,4,No,1,Y,80
10066,38.0,Male,Married,Sales,Sales Executive,2,2,Medical,2,Travel_Rarely,10317.0,12,1,No,18,4,1,2.0,2,1,5,3,2,3.0,2.0,2,4,No,1,Y,80
11513,54.0,Female,Married,Research & Development,Manager,1,4,Other,2,Travel_Rarely,7189.0,11,1,No,30,1,0,1.0,0,2,4,3,3,3.0,3.0,3,4,Yes,1,Y,80
10061,40.0,Male,Married,Human Resources,Manager,4,2,Technical Degree,4,Travel_Rarely,14069.0,11,1,No,16,3,0,1.0,1,7,3,3,1,1.0,4.0,3,4,Yes,1,Y,80
11219,25.0,Male,Married,Research & Development,Healthcare Representative,2,5,Life Sciences,1,Travel_Rarely,7672.0,17,2,No,4,4,3,2.0,2,4,5,3,1,4.0,1.0,3,4,No,1,Y,80
11298,38.0,Male,Single,Research & Development,Manufacturing Director,3,4,Life Sciences,8,Travel_Rarely,9632.0,15,3,No,15,10,9,8.0,9,8,2,3,3,4.0,4.0,3,3,No,1,Y,80
10232,40.0,Female,Married,Human Resources,HR Business Partner,2,4,Human Resources,1,Travel_Frequently,6601.0,11,0,No,16,13,11,4.0,12,3,5,4,2,1.0,4.0,3,4,No,1,Y,80
11001,31.0,Male,Divorced,Research & Development,  Research Scientist  ,2,3,Technical Degree,12,Travel_Rarely,7508.0,11,0,Yes,11,6,6,6.0,6,6,0,3,3,,2.0,3,4,No,1,Y,80
11143,40.0,Male,Married,Sales,Sales Executive,1,3,Technical Degree,3,Travel_Rarely,5268.0,20,0,Yes,22,9,9,7.0,6,8,5,3,2,3.0,1.0,3,4,Yes,1,Y,80
10574,34.0,Male,Married,Sales,Sales Executive,1,2,Life Sciences,1,Travel_Rarely,5582.0,17,0,No,12,8,6,7.0,6,7,0,3,3,4.0,4.0,3,1,No,1,Y,80
10009,-1.0,Female,Single,Sales,Manager,1,5,Life Sciences,8,Travel_Rarely,,13,0,No,15,2,1,1.0,0,8,0,3,2,1.0,2.0,2,3,No,1,Y,80
10694,41.0,Male,Married,Research & Development,Healthcare Representative,1,3,Marketing,6,Travel_Frequently,7062.0,17,1,No,18,18,18,3.0,15,4,4,4,3,3.0,3.0,4,4,No,1,Y,80
10112,21.0,Female,Divorced,Research & Development,Research Scientist,3,3,Human Resources,10,Travel_Rarely,,20,0,no,0,0,0,0.0,0,1,3,4,4,4.0,2.0,4,3,No,1,Y,80
11085,48.0,Male,Single,Sales,Sales Representative,2,2,Life Sciences,2,Travel_Rarely,9435.0,11,0,Yes,30,12,11,0.0,12,1,5,3,2,3.0,4.0,3,4,Yes,1,Y,80
10578,23.0,Female,Single,Research & Development,Laboratory Technician,2,4,Life Sciences,9,Non-Travel,5954.0,14,1,Yes,0,0,0,0.0,0,9,5,4,2,1.0,4.0,3,3,Yes,1,Y,80
10664,37.0,Female,Single,Sales,Sales Executive,2,2,Life Sciences,8,Travel_Rarely,8535.0,12,1,Yes,15,0,0,0.0,0,3,3,3,3,3.0,2.0,2,3,No,1,Y,80
11371,43.0,Female,Married,Sales,Manager,1,3,Medical,8,Travel_Rarely,6036.0,21,0,Yes,20,2,0,1.0,1,2,1,4,3,3.0,1.0,3,3,No,1,Y,80
11538,41.0,Male,Married,Research & Development,Manufacturing Director,2,4,Technical Degree,27,Travel_Rarely,8088.0,11,1,Yes,20,4,4,0.0,2,2,5,3,3,2.0,2.0,3,2,Yes,1,Y,80
10535,36.0,Male,Single,Research & Development,Laboratory Technician,2,4,Life Sciences,5,Travel_Rarely,7727.0,11,0,Yes,18,7,4,5.0,5,5,3,3,2,2.0,2.0,3,4,Yes,1,Y,80
11154,25.0,Female,Married,Human Resources,Human Resources,1,5,Marketing,16,Travel_Frequently,4407.0,11,2,Yes,4,3,3,1.0,3,0,5,3,2,4.0,3.0,4,4,No,1,Y,80
11253,32.0,Male,Single,Sales,Sales Executive,4,4,Human Resources,7,Travel_Rarely,12256.0,14,2,No,8,8,5,2.0,6,1,4,4,3,3.0,4.0,3,2,No,1,Y,80
10401,30.0,Female,Married,Research & Development,Manufacturing Director,3,4,Marketing,3,Non-Travel,8955.0,11,1,No,8,2,0,2.0,1,7,0,3,2,4.0,4.0,3,3,No,1,Y,80
11198,37.0,Male,Divorced,research & development,Healthcare Representative,1,3,Human Resources,2,Travel_Rarely,5204.0,12,1,Yes,14,5,4,4.0,4,1,5,3,3,3.0,2.0,3,3,No,1,Y,80
11358,37.0,Female,Divorced,Sales,Manager,2,2,Medical,9,Travel_Rarely,8012.0,11,0,No,16,8,6,2.0,7,3,1,3,3,2.0,3.0,3,3,Yes,1,Y,80
10962,25.0,Male,Single,Research & Development,Research Director,2,2,Medical,4,Travel_Rarely,6825.0,16,1,No,4,3,3,2.0,3,1,6,3,3,3.0,2.0,3,2,No,1,Y,80
10852,39.0,Male,Divorced,Research & Development,Laboratory Technician,2,2,Medical,5,Travel_Rarely,7015.0,17,0,No,16,3,3,0.0,3,8,3,4,3,2.0,1.0,4,2,Yes,1,Y,80
11291,35.0,Male,Single,Research & Development,Laboratory Technician,3,5,Life Sciences,8,Travel_Rarely,10487.0,14,0,Yes,17,0,0,0.0,0,8,5,3,3,3.0,4.0,3,1,No,1,Y,80
10650,44.0,Male,Single,Research & Development,Research Director,1,2,Marketing,3,Travel_Frequently,5914.0,11,0,Yes,25,7,7,7.0,7,4,3,3,1,1.0,2.0,3,1,No,1,Y,80
11520,35.0,Male,Married,Sales,Sales Representative,2,5,Life Sciences,9,Travel_Rarely,8412.0,16,0,No,15,14,12,8.0,11,0,2,3,2,1.0,2.0,4,1,No,1,Y,80
10303,24.0,Male,Single,Research & Development,Laboratory Technician,1,1,Life Sciences,11,Travel_Rarely,4708.0,15,1,No,1,0,0,0.0,0,9,4,4,3,3.0,3.0,3,4,No,1,Y,80
10465,39.0,Female,Single,Sales,Sales Executive,2,2,Life Sciences,28,Travel_Rarely,6049.0,17,2,No,15,3,3,0.0,1,6,4,3,3,3.0,4.0,4,3,No,1,Y,80
11390,38.0,Female,Single,Research & Development,Research Director,2,2,Other,17,Travel_Rarely,10296.0,18,0,No,19,1,0,,0,8,3,3,3,3.0,3.0,3,3,No,1,Y,80
10162,30.0,Female,Divorced,Research & Development,Laboratory Technician,1,3,Human Resources,1,Travel_Rarely,4645.0,14,0,No,8,6,6,1.0,4,3,0,3,3,3.0,2.0,1,2,Yes,1,Y,80
10159,55.0,Female,Married,Research & Development,Research Scientist,5,4,Technical Degree,2,Travel_Rarely,16133.0,20,2,No,32,19,18,2.0,17,5,3,3,4,2.0,4.0,3,4,No,1,Y,80
10482,25.0,Female,Divorced,Research & Development,Research Director,4,4,,7,Travel_Rarely,11957.0,16,0,Yes,6,5,4,3.0,4,2,6,3,3,,1.0,2,2,No,1,Y,80
11592,30.0,Female,Married,Human Resources,HR Business Partner,3,3,Marketing,2,Travel_Rarely,9201.0,19,1,No,12,1,0,0.0,0,1,1,3,3,2.0,2.0,3,3,No,1,Y,80
11167,32.0,Female,Married,Research & Development,Manager,1,3,Life Sciences,11,Travel_Rarely,"$5,608",19,2,No,13,7,7,2.0,5,0,2,4,3,4.0,4.0,3,2,No,1,Y,80
10269,18.0,Male,Married,Research & Development,Research Director,3,2,Medical,7,Travel_Rarely,10552.0,13,0,No,0,0,0,0.0,0,6,3,3,4,1.0,3.0,3,3,No,1,Y,80
10921,41.0,Female,Single,Human Resources,Human Resources,1,4,Medical,3 km,Travel_Frequently,7880.0,11,0,Yes,21,10,7,3.0,8,2,2,4,3,4.0,2.0,3,3,No,1,Y,80
11242,32.0,Female,Divorced,Sales,Manager,1,4,Marketing,10,Travel_Rarely,4662.0,14,0,Yes,13,6,5,1.0,6,9,6,3,3,1.0,4.0,1,3,Yes,1,Y,80
11419,45.0,Male,Married,Research & Development,Manager,1,2,Medical,7,Travel_Rarely,5563.0,14,1,No,23,6,3,6.0,5,8,2,3,4,2.0,4.0,4,3,No,1,Y,80
10637,53.0,Male,Married,Sales,Sales Executive,1,3,Technical Degree,9,Travel_Frequently,7698.0,17,0,No,30,29,27,1.0,28,8,1,3,2,1.0,4.0,3,4,No,1,Y,80
10651,32.0,Female,Single,Sales,Sales Executive,1,5,Technical Degree,29,Non-Travel,6821.0,11,1,No,8,6,6,3.0,3,1,1,3,3,3.0,4.0,2,1,Yes,1,Y,80
11132,24.0,Male,Divorced,Research & Development,Research Scientist,1,4,Technical Degree,4,Travel_Rarely,5566.0,15,1,Yes,1,0,0,0.0,0,6,5,4,3,1.0,4.0,3,3,No,1,Y,80
10268,23.0,Female,Single,Sales,Sales Executive,1,4,Technical Degree,8,Travel_Frequently,5021.0,11,1,No,4,3,2,1.0,3,9,5,3,4,4.0,4.0,4,4,No,1,Y,80
10537,33.0,Female,Married,Research & Development,Manager,2,3,Marketing,6,Travel_Rarely,"$9,263",11,2,Yes,12,8,5,3.0,7,7,6,3,3,4.0,2.0,3,3,Yes,1,Y,80
10660,23.0,Female,Married,Research & Development,Laboratory Technician,3,1,Human Resources,4,Travel_Rarely,10541.0,12,1,No,5,4,4,1.0,3,3,4,4,2,,4.0,3,1,Yes,1,Y,80
10698,47.0,Female,Married,Sales,Sales Representative,4,2,Medical,4,Travel_Rarely,12314.0,14,0,Yes,27,1,0,0.0,0,9,6,3,3,4.0,2.0,3,3,Yes,1,Y,80
10004,25.0,Male,Single,Research & Development,  Research Scientist  ,2,1,Life Sciences,6,Travel_Rarely,7841.0,13,2,Yes,6,3,0,3.0,1,4,2,3,3,3.0,1.0,3,1,No,1,Y,80
